NumTotalTrades,PercentInstallTrades,NumRevolvingTradesWBalance,NumInstallTradesWBalance,PercentTradesWBalance,extra:MaxDelq2PublicRecLast12M:is8,extra:MaxDelq2PublicRecLast12M:is9,extra:MaxDelqEver:is1,extra:MaxDelqEver:is9,extra:num-mising,ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTradesOpeninLast12M,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumBank2NatlTradesWHighUtilization,extra:mising-7:MSinceMostRecentDelq,extra:mising-7:MSinceMostRecentInqexcl7days,extra:mising-8:MSinceOldestTradeOpen,extra:mising-8:MSinceMostRecentDelq,extra:mising-8:MSinceMostRecentInqexcl7days,extra:mising-8:NetFractionRevolvingBurden,extra:mising-8:NetFractionInstallBurden,extra:mising-8:NumRevolvingTradesWBalance,extra:mising-8:NumInstallTradesWBalance,extra:mising-8:NumBank2NatlTradesWHighUtilization,extra:mising-8:PercentTradesWBalance,extra:mising-9:ExternalRiskEstimate,extra:mising-9:MSinceOldestTradeOpen,extra:mising-9:MSinceMostRecentTradeOpen,extra:mising-9:AverageMInFile,extra:mising-9:NumSatisfactoryTrades,extra:mising-9:NumTrades60Ever2DerogPubRec,extra:mising-9:NumTrades90Ever2DerogPubRec,extra:mising-9:PercentTradesNeverDelq,extra:mising-9:MSinceMostRecentDelq,extra:mising-9:MaxDelq2PublicRecLast12M,extra:mising-9:MaxDelqEver,extra:mising-9:NumTotalTrades,extra:mising-9:NumTradesOpeninLast12M,extra:mising-9:PercentInstallTrades,extra:mising-9:MSinceMostRecentInqexcl7days,extra:mising-9:NumInqLast6M,extra:mising-9:NumInqLast6Mexcl7days,extra:mising-9:NetFractionRevolvingBurden,extra:mising-9:NetFractionInstallBurden,extra:mising-9:NumRevolvingTradesWBalance,extra:mising-9:NumInstallTradesWBalance,extra:mising-9:NumBank2NatlTradesWHighUtilization,extra:mising-9:PercentTradesWBalance,RiskPerformance
16,31,4,2,67,False,False,False,False,1,12,707,378,336,63,0,0,0,90,0.0,0.0,3,24,0,0,15,88,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
15,20,5,2,88,False,False,False,False,0,44,492,358,307,67,1,0,40,81,4.0,3.0,0,24,1,1,84,64,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
28,39,3,5,67,False,False,False,False,1,20,529,381,317,56,0,0,0,90,1.0,0.0,4,24,2,2,18,65,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
14,8,2,-8,67,False,False,False,False,3,25,547,377,266,68,1,1,0,90,0.0,0.0,1,24,0,0,13,-8,0,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6,100,-8,1,100,False,False,False,False,4,31,541,357,288,76,2,2,25,56,1.0,4.0,0,24,0,0,-8,-8,-8,False,False,False,False,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
36,36,10,2,82,False,False,False,False,0,31,619,380,306,45,0,0,3,51,1.0,2.0,2,24,11,10,71,80,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
15,33,3,3,86,False,False,False,False,0,33,547,364,315,65,0,0,13,83,3.0,2.0,0,24,2,1,62,68,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
20,58,3,4,70,False,False,False,False,0,32,672,379,324,63,4,2,21,60,1.0,3.0,4,24,4,4,25,91,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
10,10,2,-8,50,False,False,False,False,3,5,559,374,236,69,0,0,0,90,0.0,0.0,1,24,0,0,3,-8,0,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
17,25,5,1,75,False,False,False,False,1,29,760,381,357,64,1,1,0,90,0.0,0.0,2,24,4,4,31,83,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
31,48,3,2,56,False,False,False,False,0,37,656,379,310,52,1,1,3,82,7.0,6.0,2,24,4,4,44,87,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
22,41,6,2,73,False,False,False,False,1,22,438,372,300,57,0,0,0,90,0.0,0.0,1,24,0,0,49,23,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
30,27,9,5,64,False,False,False,False,1,22,719,379,330,50,0,0,0,90,0.0,0.0,2,24,1,1,43,48,3,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
20,20,4,2,50,False,False,False,False,0,29,715,374,338,59,0,0,15,82,3.0,2.0,1,24,0,0,14,71,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
20,50,6,3,82,False,False,False,False,0,30,712,379,328,60,1,1,10,83,7.0,6.0,2,24,2,2,24,81,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
28,48,8,2,91,False,False,False,False,0,36,538,380,304,54,2,1,7,70,7.0,3.0,2,24,1,1,63,50,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
22,45,7,3,91,False,False,False,False,0,36,653,367,311,61,2,0,45,79,3.0,3.0,0,24,1,1,79,38,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
17,29,3,1,57,False,False,False,False,2,15,641,376,289,62,0,0,0,90,0.0,0.0,1,24,0,0,28,-8,1,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
17,53,3,2,63,False,False,False,False,0,28,519,351,276,64,2,2,18,80,3.0,4.0,0,24,1,1,19,50,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
39,36,14,2,89,False,False,False,False,1,25,327,375,226,41,4,4,0,90,1.0,0.0,1,24,4,4,50,54,4,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
18,33,1,1,22,False,False,False,False,0,23,624,380,321,64,3,2,17,46,1.0,6.0,4,24,5,5,5,9,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
12,27,6,2,100,False,False,False,False,0,40,689,371,334,70,3,3,36,79,7.0,6.0,0,24,0,0,62,14,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
39,67,5,2,50,False,False,False,False,1,26,670,376,339,40,2,2,0,90,1.0,0.0,4,24,2,2,15,73,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
19,21,5,1,55,False,False,False,False,1,19,639,379,317,60,0,0,0,90,0.0,0.0,2,24,0,0,53,92,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
26,42,5,3,67,False,False,False,False,0,27,685,377,346,56,2,2,12,13,1.0,6.0,5,24,0,0,31,70,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
14,7,1,-8,25,False,False,False,False,3,6,650,350,291,66,0,0,0,90,0.0,0.0,0,24,0,0,1,-8,0,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
25,56,5,3,100,False,False,False,False,0,43,617,370,287,57,3,1,16,81,7.0,6.0,0,24,4,3,79,50,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
24,13,9,-8,67,False,False,False,False,3,24,676,358,326,56,0,0,4,91,1.0,2.0,0,24,0,0,51,-8,1,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
15,13,3,1,56,False,False,False,False,1,29,687,373,346,65,1,1,7,11,1.0,6.0,1,24,2,2,52,-8,2,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
11,64,3,-8,75,False,False,False,False,3,16,782,379,370,68,0,0,0,90,0.0,0.0,5,24,3,3,7,-8,0,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
13,62,0,2,50,False,False,False,False,2,8,485,365,293,66,0,0,0,90,0.0,0.0,0,24,0,0,0,44,-8,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
13,62,1,4,71,False,False,False,False,1,4,573,370,310,68,0,0,0,90,0.0,0.0,0,24,0,0,1,71,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
34,38,13,1,88,False,False,False,False,2,18,510,379,309,46,0,0,0,90,0.0,0.0,1,24,2,2,37,-8,0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
20,20,2,2,50,False,False,False,False,1,24,766,379,363,60,0,0,0,90,0.0,0.0,2,24,3,3,42,73,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
44,23,18,1,80,False,False,False,False,2,21,548,367,283,39,0,0,0,90,0.0,0.0,0,24,1,1,79,-8,13,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
42,38,7,2,82,False,False,False,False,2,22,594,381,288,38,0,0,0,90,0.0,0.0,3,24,1,1,42,-8,2,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
29,31,6,3,69,False,False,False,False,1,11,405,380,265,50,0,0,0,90,0.0,0.0,2,24,3,3,22,87,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
30,40,3,2,56,False,False,False,False,1,7,477,376,272,53,0,0,0,90,0.0,0.0,1,24,0,0,12,89,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
19,53,8,2,100,False,False,False,False,0,39,689,377,324,60,0,0,11,78,3.0,2.0,1,24,1,1,97,90,6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
47,32,9,-8,60,False,False,False,False,2,29,325,371,286,35,0,0,11,82,3.0,2.0,0,24,9,9,63,-8,6,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
17,41,2,2,67,False,False,False,False,2,16,606,360,292,64,0,0,0,90,0.0,0.0,0,24,5,5,57,32,-8,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
39,36,4,1,56,False,False,False,False,1,15,560,366,306,44,0,0,3,16,1.0,2.0,0,24,2,2,20,-8,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
22,27,9,3,93,False,False,False,False,1,19,620,365,291,58,0,0,0,90,0.0,0.0,0,24,0,0,88,91,5,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
20,30,8,4,86,False,False,False,False,0,24,627,375,287,59,0,0,5,66,2.0,2.0,1,24,0,0,74,71,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
43,49,8,2,67,False,False,False,False,0,16,435,377,309,37,0,0,2,60,2.0,2.0,3,24,3,3,10,19,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
-9,-9,-9,-9,-9,False,False,False,False,23,103,812,392,392,88,-9,-9,109,92,-9.0,-9.0,-9,33,-9,-9,-9,-9,-9,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False
23,39,4,1,100,False,False,False,False,2,19,503,369,259,57,0,0,0,90,0.0,0.0,0,24,0,0,57,-8,1,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
15,40,4,2,75,False,False,False,False,1,18,653,372,329,65,0,0,0,90,0.0,0.0,1,24,0,0,32,96,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
11,18,7,1,100,False,False,False,False,1,22,635,375,321,69,0,0,0,90,0.0,0.0,1,24,5,5,60,82,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
22,27,5,2,88,False,False,False,False,0,39,685,379,314,67,7,4,50,79,4.0,5.0,2,24,2,2,79,79,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
24,25,12,1,93,False,False,False,False,1,20,526,353,260,55,0,0,12,71,1.0,2.0,0,24,0,0,45,-8,2,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
14,29,5,2,70,False,False,False,False,0,31,629,382,321,68,1,0,21,78,4.0,3.0,1,24,5,5,37,101,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
34,62,3,4,78,False,False,False,False,1,13,666,374,317,45,0,0,0,90,0.0,0.0,1,24,1,1,24,92,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
18,83,1,3,80,False,False,False,False,2,13,677,374,305,61,0,0,0,90,0.0,0.0,1,24,0,0,0,64,-8,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-9,-9,-9,-9,-9,False,False,False,False,23,103,812,392,392,88,-9,-9,109,92,-9.0,-9.0,-9,33,-9,-9,-9,-9,-9,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False
43,50,7,4,86,False,False,False,False,0,35,560,372,304,41,1,1,24,76,3.0,2.0,1,24,1,1,63,78,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
-9,-9,-9,-9,-9,False,False,False,False,23,103,812,392,392,88,-9,-9,109,92,-9.0,-9.0,-9,33,-9,-9,-9,-9,-9,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False
-9,-9,-9,-9,-9,False,False,False,False,23,103,812,392,392,88,-9,-9,109,92,-9.0,-9.0,-9,33,-9,-9,-9,-9,-9,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
44,39,3,4,47,False,False,False,False,0,28,627,372,302,36,0,0,2,80,3.0,2.0,1,24,2,2,36,64,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
23,52,4,3,78,False,False,False,False,0,22,634,378,323,58,1,1,4,53,1.0,5.0,1,24,4,4,66,82,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
-9,-9,-9,-9,-9,False,False,False,False,23,103,812,392,392,88,-9,-9,109,92,-9.0,-9.0,-9,33,-9,-9,-9,-9,-9,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False
39,18,11,2,72,False,False,False,False,1,21,394,376,289,41,0,0,0,90,0.0,0.0,2,24,1,1,27,69,2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
18,72,0,2,50,False,False,False,False,2,8,384,373,261,62,0,0,0,90,0.0,0.0,1,24,0,0,0,36,-8,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
7,43,0,-8,0,False,False,False,False,4,3,521,283,174,73,0,0,0,90,0.0,0.0,0,24,0,0,0,-8,-8,True,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
19,21,6,3,64,False,False,False,False,0,21,479,368,294,60,0,0,11,74,3.0,2.0,0,24,0,0,34,36,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
40,40,5,4,60,False,False,False,False,0,16,669,381,320,44,0,0,7,51,1.0,2.0,3,24,0,0,22,55,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
21,38,5,5,67,False,False,False,False,0,29,648,375,346,59,1,1,5,75,3.0,2.0,1,24,2,2,49,87,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
9,78,2,1,100,False,False,False,False,3,19,733,382,345,71,0,0,0,90,0.0,0.0,1,24,4,3,17,-8,-8,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
8,50,2,1,100,False,False,False,False,2,10,526,375,274,71,0,0,0,90,0.0,0.0,1,24,0,0,33,-8,0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
40,35,6,5,61,False,False,False,False,2,19,509,371,289,40,0,0,2,91,1.0,2.0,0,24,2,2,17,-8,0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
13,50,4,-8,100,False,False,False,False,3,34,446,366,242,70,4,3,33,80,4.0,4.0,0,24,1,1,28,-8,-8,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
31,65,3,5,100,False,False,False,False,0,26,697,380,329,50,1,1,13,32,1.0,6.0,2,24,1,1,85,73,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
16,33,3,2,83,False,False,False,False,0,27,718,376,339,64,1,1,7,38,1.0,2.0,2,24,0,0,59,62,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
25,4,11,1,80,False,False,False,False,1,23,521,382,310,57,0,0,4,91,1.0,2.0,5,24,2,2,37,39,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
28,32,5,-8,67,False,False,False,False,2,44,599,381,292,56,2,0,18,82,4.0,3.0,2,24,6,6,32,-8,0,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
6,80,1,2,100,False,False,False,False,0,32,652,364,284,74,1,1,20,67,1.0,2.0,0,24,0,0,40,75,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
-9,-9,-9,-9,-9,False,False,False,False,23,103,812,392,392,88,-9,-9,109,92,-9.0,-9.0,-9,33,-9,-9,-9,-9,-9,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
20,30,6,2,67,False,False,False,False,1,24,470,381,308,63,0,0,0,90,2.0,0.0,8,24,0,0,78,92,4,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
15,53,3,3,86,False,False,False,False,0,36,496,377,304,65,1,0,27,65,1.0,3.0,2,24,0,0,81,75,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
